title,publication_date,source,domain,url,region,collector,location_mention
এবার ইসরাইলের বিমানঘাঁটিতে ক্ষেপণাস্ত্র হামলা,2025-04-27 07:00:00+00:00,Bangladesh,jugantor.com,https://www.jugantor.com/international/946727,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
美国承认 ： 胡塞武装打击无人机能力变强了 美军损失惨重 _ 军事频道 _ 中华网,2025-04-29 05:45:00+00:00,China,military.china.com,https://military.china.com/news/13004177/20250429/48274895.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
美军凌晨发动3次空袭 ！ 美国两艘航空母舰再遭胡塞武装导弹袭击 ， 一架MQ - 9无人机被击落,2025-04-23 01:45:00+00:00,China,nbd.com.cn,https://www.nbd.com.cn/articles/2025-04-23/3843935.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
"Yemen appoints new prime minister after cabinet resigned , council says",2025-05-04 05:00:00+00:00,United States,aol.com,https://www.aol.com/news/pm-yemens-internationally-recognised-government-122647577.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
UK military launches airstrikes with US targeting Yemen Houthi rebels,2025-04-30 03:30:00+00:00,United States,mymotherlode.com,https://www.mymotherlode.com/news/middle-east/3822207/uk-military-launches-airstrikes-with-us-targeting-yemens-houthi-rebels.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
US Air Strikes Targeting Yemeni Oil Port ; Houthis Say Attack Killed 20 People,2025-04-19 11:30:00+00:00,Syria,globalsecurity.org,https://www.globalsecurity.org/military/library/news/2025/04/mil-250418-rferl01.htm,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
الحوثي : استهداف القطع البحرية الأميركية مستمر بفعالية عالية,2025-04-04 22:45:00+00:00,Israel,palinfo.com,https://palinfo.com/news/2025/04/04/946443/,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
Houthi rebels destroy seven US Reaper drones worth millions in mere weeks,2025-04-25 05:00:00+00:00,United Kingdom,yourlocalguardian.co.uk,https://www.yourlocalguardian.co.uk/news/national/25114384.houthi-rebels-destroy-seven-us-reaper-drones-worth-millions-mere-weeks/,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
美国核动力航母 、 多艘军舰遭袭击 ！ 美军发动空袭 特朗普曾威胁胡塞武装 ： 真正的痛苦尚未到来 _ 东方财富网,2025-04-10 01:15:00+00:00,China,finance.eastmoney.com,https://finance.eastmoney.com/a/202504103372161516.html,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
"Deadliest US strike in Yemen kills 74 , Houthis say - World",2025-04-18 15:00:00+00:00,Pakistan,brecorder.com,https://www.brecorder.com/news/40358339/deadliest-us-strike-in-yemen-kills-74-houthis-say,Red_Sea_Gulf_Aden,gdelt,Red_Sea_Gulf_Aden
